ID,governorate,age,name,gender
1,Qaliubiya,51,Sarah Lewis,1
2,Dakahlia,67,Benjamin Chapman,0
3,North Sinai,28,Sabrina Hernandez,1
4,Luxor,76,Mark Adams,0
5,Minya,33,Michelle Cooper,0
6,Suez,63,Mark Graham DDS,0
7,North Sinai,54,Dylan Reid,0
8,Qaliubiya,54,Frank Taylor,0
9,South Sinai,29,Sherry Brown,1
10,Luxor,53,Gary Nelson,1
11,Aswan,36,Jason Day,1
12,Beni Suef,76,Cody Steele,1
13,North Sinai,69,Michael Roberts,1
14,Sohag,74,James Riggs,1
15,Menofia,44,Allison Humphrey,0
16,Suez,55,Shari Harris,0
17,Port Said,64,Susan Smith,1
18,Qena,60,Todd Murray,1
19,Assiut,25,David Jacobs,1
20,Aswan,78,Natalie Woodard,0
21,Kafr Al sheikh,36,Jillian Lynn,1
22,South Sinai,65,Chad Ward,1
23,Aswan,77,Monica Barrett,0
24,Ismailia,28,Alison Benson,1
25,Qaliubiya,20,Henry Olson,1
26,Assiut,76,Tammy Alvarez,1
27,Aswan,55,Hailey Edwards,1
28,Dakahlia,46,Nathan Gonzalez,1
29,Dakahlia,50,Katherine Clark,1
30,Matrouh,21,Lori Chambers,0
31,Cairo,35,Michael Greer,1
32,Kafr Al sheikh,70,Brittany Johnson,1
33,Sharkia,30,Danielle Harper,0
34,Port Said,21,Tina Stevens,0
35,Minya,55,Timothy Adams,0
36,Qaliubiya,65,Yolanda Schmitt,1
37,Qena,19,Samantha Franklin,0
38,Sharkia,58,David Smith MD,1
39,Fayoum,58,Martin Bennett,0
40,Kafr Al sheikh,72,Elizabeth Smith,1
41,Red Sea,28,James Calderon DDS,1
42,Fayoum,29,Robert Dunlap,1
43,South Sinai,61,Kenneth Kramer,0
44,Sohag,33,Karen Brooks,1
45,Beheira,39,Paige Jones,0
46,Luxor,35,Bobby Short,0
47,New Valley,77,Nathan Reyes,1
48,Sohag,55,Stefanie Cordova,0
49,Cairo,47,Jeffrey Collins,0
50,South Sinai,19,Amy Hughes,0
51,Menofia,66,Megan Barrett,0
52,Ismailia,52,Sarah Crawford,0
53,Matrouh,63,Joseph Chan,0
54,Giza,72,Andrea Kidd,1
55,Dakahlia,63,Edwin Moody,1
56,Gharbiya,43,Amanda Phillips,1
57,South Sinai,27,Renee Mcclure,0
58,Fayoum,39,John Erickson,1
59,Luxor,19,Robert Mitchell,1
60,Beni Suef,72,Lauren Hunt,1
61,Matrouh,70,Michael Galvan,0
62,New Valley,20,Elizabeth Bush MD,0
63,Qaliubiya,36,Kenneth Glover,0
64,Assiut,41,Larry York,0
65,Cairo,78,Kenneth Smith,1
66,Menofia,62,Robin Turner,0
67,Qaliubiya,28,Sara Grimes,0
68,Assiut,23,Donna Morris,1
69,Fayoum,25,James Burns,1
70,North Sinai,79,Glen Cabrera,1
71,Sharkia,29,Robert White,1
72,Fayoum,59,Pamela Perez,0
73,Dakahlia,69,Monica Harris,1
74,Assiut,72,Makayla Lewis,0
75,Luxor,49,Mr. Gary Thompson,0
76,North Sinai,19,April Sanders,0
77,Cairo,18,Carlos Arnold,1
78,Kafr Al sheikh,57,Alyssa Carroll,1
79,Damietta,35,Jeffrey Hernandez,1
80,Gharbiya,72,Nancy Martin,0
81,Damietta,60,Mr. James Wilson,1
