ID,governorate,age,name,gender
1,Luxor,34,Nicholas Jacobson,1
2,Matrouh,61,Jasmine Barrera,0
3,Suez,56,Angela Taylor,0
4,New Valley,67,Suzanne Wallace,0
5,Luxor,52,Kevin Green,1
6,Qaliubiya,28,Robert Mitchell,0
7,Cairo,73,Victor Miller,0
8,Minya,40,Hannah Eaton,1
9,South Sinai,23,Ashley Boyle,0
10,Port Said,75,Daniel Gregory,0
11,Menofia,25,Lauren Hobbs,1
12,Luxor,34,Erin Valenzuela,0
13,Qena,49,Justin Chen,1
14,Sohag,39,Elizabeth Adams,0
15,Cairo,62,Ashley Howe,0
16,Cairo,32,Gregory Cruz,1
17,Beheira,57,Sylvia Adams,1
18,Suez,18,Sharon Berry,1
19,Assiut,48,Jamie Adams,1
20,Beheira,36,John Whitaker,0
21,Assiut,43,Linda Perez,0
22,Kafr Al sheikh,62,Danielle Tyler,1
23,New Valley,56,Adam Jones,0
24,Sohag,28,Rhonda Lamb MD,1
25,Port Said,63,Emma Lowery,0
26,Alexandria,39,Cheryl Lucero,0
27,Sohag,45,Amy Evans,0
28,Qaliubiya,35,Antonio Richardson,0
29,Qena,35,David Patterson,0
30,Sharkia,27,Amber Jones,0
31,Alexandria,51,Anthony Brewer,1
32,Red Sea,20,Matthew Stevens,1
33,Luxor,60,Elizabeth Alvarez,1
34,Matrouh,77,Shannon Davis,1
35,Cairo,24,Crystal Sweeney,1
36,South Sinai,29,Jorge Payne,0
37,Minya,50,Allison Gordon,0
38,Suez,38,Bethany Lowe,0
39,New Valley,54,Victor Randolph,1
40,Damietta,80,Jennifer Gomez,1
41,Dakahlia,78,Ashley Smith,1
42,South Sinai,60,Kylie Stone,1
43,Fayoum,35,Curtis Brooks,0
44,New Valley,28,Jacqueline Fry,0
45,Kafr Al sheikh,70,Tyler Moss,0
46,Giza,22,Michael Torres,0
47,Qaliubiya,32,Kimberly Decker,1
48,Suez,63,Aimee Walker,0
49,Qaliubiya,52,Andrew Zhang,0
50,Cairo,53,Rebecca Macdonald,0
51,Beheira,18,Eugene Suarez,0
52,Alexandria,19,Shannon Richards,1
53,Fayoum,58,Vincent Jones,1
54,Gharbiya,58,Steven Lamb,1
55,Port Said,49,Richard Porter,0
56,Qena,29,Jessica Graham,1
57,Qena,36,Rebecca Perez,1
58,South Sinai,26,Brittany Martin,0
59,Alexandria,80,Brenda Burch,1
60,Ismailia,59,Antonio Richardson,0
61,South Sinai,43,Patrick Barnett,1
62,Alexandria,67,Melissa Smith,1
63,Qena,48,Lisa Pope,0
64,Beni Suef,28,Alexander Taylor,0
65,Assiut,24,James Cortez,0
66,New Valley,77,Susan Lewis,1
67,Kafr Al sheikh,72,Jason Vega,0
68,Fayoum,61,Paul Gutierrez,0
69,Minya,80,Christine Gonzalez,0
70,Qena,35,Robin Bradford,0
71,Menofia,25,Jeremy Taylor,0
72,Minya,22,Rhonda Simpson,1
73,Minya,59,Alex Hicks,1
74,Minya,69,Jennifer Martin,1
75,Ismailia,67,Christina Michael,1
76,Giza,26,Jacqueline Rangel,0
77,Fayoum,18,Kyle Krueger,0
